,score
1231,1
1232,1
1233,1
1234,1
1235,1
1236,1
1237,1
1238,0
1239,1
1240,0
1241,1
1242,1
1243,0
1244,1
1245,0
1246,1
1247,1
1248,1
1249,1
1250,1
1251,1
1252,0
1253,1
1254,1
1255,1
1256,0
1257,0
1258,1
1259,0
1260,1
1261,1
1262,1
1263,0
1264,1
1265,1
1266,0
1267,0
1268,1
1269,1
1270,0
1271,1
1272,1
1273,1
1274,1
1275,1
1276,1
1277,1
1278,1
1279,1
1280,1
1281,1
1282,1
1283,1
1284,1
1285,1
1286,1
1287,1
1288,0
1289,1
1290,0
1291,1
1292,1
1293,1
1294,1
1295,1
1296,1
1297,0
1298,1
1299,1
1300,0
1301,0
1302,1
1303,1
1304,1
1305,0
1306,1
1307,1
1308,1
1309,0
1310,1
1311,1
1312,1
1313,0
1314,1
1315,1
1316,1
1317,1
1318,1
1319,1
1320,1
1321,1
1322,0
1323,1
1324,1
1325,0
1326,1
1327,1
1328,1
1329,1
1330,1
1331,0
1332,1
1333,1
1334,1
1335,1
1336,0
1337,1
1338,0
1339,0
1340,1
1341,1
1342,1
1343,1
1344,1
1345,1
1346,1
1347,1
1348,1
1349,1
1350,0
1351,1
1352,0
1353,1
1354,1
1355,0
1356,0
1357,1
1358,1
1359,0
1360,1
1361,1
1362,1
1363,1
1364,1
1365,0
1366,1
1367,1
1368,1
1369,1
1370,1
1371,1
1372,0
1373,0
1374,1
1375,0
1376,1
1377,1
1378,0
1379,1
1380,1
1381,1
1382,0
1383,1
1384,1
1385,1
1386,1
1387,0
1388,0
1389,1
1390,1
1391,1
1392,0
1393,1
1394,1
1395,0
1396,1
1397,0
1398,0
1399,1
1400,0
1401,1
1402,1
1403,1
1404,1
1405,1
1406,0
1407,1
1408,1
1409,1
1410,1
1411,1
1412,1
1413,1
1414,1
1415,1
1416,1
1417,1
1418,1
1419,1
1420,1
1421,1
1422,1
1423,0
1424,1
1425,1
1426,1
1427,1
1428,1
1429,1
1430,1
1431,1
1432,0
1433,1
1434,1
1435,1
1436,1
1437,0
1438,1
1439,1
1440,1
1441,1
1442,1
1443,1
1444,1
1445,1
1446,1
1447,1
1448,1
1449,0
1450,1
1451,1
1452,1
1453,0
1454,1
1455,1
1456,0
1457,0
1458,1
1459,1
1460,1
1461,1
1462,1
1463,0
1464,1
1465,1
1466,1
1467,1
1468,1
1469,1
1470,0
1471,1
1472,1
1473,0
1474,0
1475,1
1476,1
1477,1
1478,1
1479,1
1480,1
1481,1
1482,1
1483,1
1484,1
1485,1
1486,1
1487,1
1488,1
1489,0
1490,1
1491,1
1492,1
1493,1
1494,1
1495,1
1496,1
1497,1
1498,1
1499,1
