,score
533,1
534,1
535,1
536,1
537,0
538,1
539,1
540,1
541,1
542,1
543,1
544,1
545,1
546,1
547,1
548,1
549,1
550,0
551,1
552,1
553,1
554,1
555,1
556,1
557,1
558,1
559,1
560,1
561,1
562,1
563,1
564,1
565,1
566,1
567,1
568,1
569,1
570,1
571,1
572,1
573,0
574,1
575,1
576,1
577,1
578,1
579,1
580,1
581,1
582,1
583,1
584,1
585,1
586,1
587,1
588,1
589,0
590,1
591,1
592,1
593,0
594,1
595,1
596,1
597,1
598,1
599,0
600,0
601,1
602,1
603,1
604,1
605,0
606,1
607,1
608,1
609,1
610,1
611,1
612,1
613,0
614,1
615,1
616,1
617,0
618,0
619,0
620,0
621,1
622,1
623,1
624,1
625,1
626,1
627,1
628,0
629,1
630,1
631,1
632,0
633,1
634,1
635,1
636,1
637,1
638,0
639,0
640,1
641,1
642,1
643,1
644,1
645,1
646,1
647,0
648,1
649,1
650,1
651,1
652,1
653,1
654,1
655,1
656,1
657,1
658,1
659,1
660,1
661,1
662,1
663,0
664,0
665,1
666,0
667,1
668,1
669,1
670,1
671,1
672,1
673,0
674,0
675,1
676,0
677,1
678,1
679,1
680,1
681,1
682,1
683,1
684,1
685,1
686,1
687,1
688,1
689,1
690,1
691,1
692,1
693,1
694,1
695,1
696,1
697,1
698,1
699,1
700,1
701,1
702,1
703,1
704,1
705,1
706,1
707,0
708,1
709,1
710,1
711,1
712,1
713,1
714,1
715,0
716,1
717,1
718,1
719,1
720,0
721,0
722,1
723,1
724,1
725,1
726,1
727,1
728,1
729,1
730,0
731,1
732,1
733,1
734,1
735,1
736,1
737,1
738,0
739,1
740,1
741,0
742,1
743,0
744,1
745,0
746,1
747,1
748,1
749,1
750,0
751,1
752,1
753,1
754,1
755,1
756,1
757,1
758,1
759,1
760,1
761,0
762,1
763,1
764,1
765,1
766,0
767,1
768,1
769,0
770,1
771,1
772,1
773,1
774,1
775,0
776,0
777,1
778,1
779,0
780,1
781,1
782,1
783,1
784,1
785,1
786,1
787,1
788,1
789,1
790,1
791,1
792,0
793,1
794,1
795,1
796,1
797,0
798,1
799,1
