,score
533,1
534,1
535,1
536,1
537,0
538,0
539,0
540,1
541,0
542,1
543,1
544,0
545,1
546,1
547,1
548,0
549,1
550,0
551,1
552,1
553,1
554,1
555,0
556,1
557,1
558,0
559,1
560,0
561,1
562,1
563,1
564,0
565,1
566,0
567,0
568,1
569,1
570,1
571,1
572,0
573,0
574,1
575,0
576,1
577,1
578,1
579,1
580,1
581,1
582,0
583,0
584,1
585,1
586,1
587,1
588,0
589,0
590,1
591,1
592,1
593,0
594,1
595,1
596,1
597,0
598,0
599,1
600,0
601,0
602,0
603,1
604,0
605,0
606,1
607,1
608,0
609,1
610,1
611,1
612,1
613,1
614,1
615,1
616,1
617,1
618,0
619,1
620,1
621,0
622,1
623,1
624,1
625,1
626,0
627,1
628,1
629,1
630,1
631,1
632,1
633,0
634,0
635,1
636,1
637,0
638,0
639,1
640,0
641,1
642,1
643,1
644,0
645,0
646,1
647,1
648,1
649,1
650,1
651,1
652,0
653,0
654,0
655,1
656,1
657,1
658,1
659,0
660,1
661,1
662,0
663,1
664,1
665,0
666,0
667,1
668,0
669,0
670,0
671,1
672,1
673,0
674,1
675,1
676,1
677,1
678,1
679,1
680,0
681,1
682,1
683,0
684,1
685,1
686,0
687,0
688,0
689,1
690,0
691,1
692,1
693,1
694,0
695,0
696,1
697,0
698,1
699,0
700,1
701,0
702,1
703,0
704,1
705,1
706,1
707,1
708,1
709,0
710,1
711,0
712,1
713,1
714,0
715,1
716,0
717,1
718,1
719,0
720,1
721,0
722,1
723,1
724,1
725,0
726,1
727,0
728,0
729,1
730,1
731,1
732,1
733,1
734,0
735,0
736,1
737,1
738,1
739,0
740,1
741,1
742,1
743,1
744,1
745,0
746,0
747,1
748,1
749,1
750,1
751,1
752,0
753,1
754,1
755,1
756,1
757,1
758,1
759,1
760,1
761,0
762,0
763,0
764,0
765,1
766,1
767,1
768,1
769,1
770,0
771,1
772,1
773,0
774,1
775,1
776,1
777,1
778,0
779,1
780,1
781,1
782,1
783,0
784,1
785,1
786,1
787,1
788,1
789,0
790,1
791,1
792,1
793,1
794,1
795,1
796,1
797,1
798,0
799,1
